FlowerID,Genotype,Plant_Sex,Flowering_Date,Location
376K-1-R-2--C-42,376K-1,female,2020-12-21,Kawanda
Kabucuragye-R-2-C-19,Kabucuragye,female,2020-12-21,Kawanda
Nakawere-R-4-C-14,Nakawere,female,2020-12-21,Kawanda
Kabucuragye-R-6-C-18,Kabucuragye,female,2020-12-21,Kawanda
Kabucuragye-R-2-C-19,Kabucuragye,female,2020-12-22,Kawanda
365K-1-r5-c17,365K-1,female,2020-12-22,Kawanda
376K-1-R-2--C-42,376K-1,female,2020-12-22,Kawanda
1411K-1-R-4--C-45,1411K-1,female,2020-12-22,Kawanda
1411K-1-R-7--C-44,1411K-1,female,2020-12-23,Kawanda
1747K-1-r3-c2,1747K-1,female,2020-12-24,Kawanda
401K-1-R-2--C-61,401K-1,female,2020-12-25,Kawanda
1411K-1-R-4--C-59,1411K-1,female,2020-12-25,Kawanda
199K-3-R-1--C-53,199K-3,female,2020-12-21,Kawanda
IITA-Nakyetengu-R-5-C-23,IITA-Nakyetengu,female,2020-12-26,Kawanda
Nakawere-R-7-C-12,Nakawere,female,2020-12-26,Kawanda
Nakawere-R-8-C-9,Nakawere,female,2020-12-26,Kawanda
enz-r6-c1,ITC1354-Enzirabahima,female,2020-12-26,Kawanda
1154K-1-R-7--C-49,1154K-1,female,2020-12-26,Kawanda
1411K-1-R-3--C-44,1411K-1,female,2020-12-26,Kawanda
660K-1-R-1--C-36,660K-1,female,2020-12-26,Kawanda
401K-1-r4-c25,401K-1,female,2020-12-26,Kawanda
222K-1-R-3--C-20,222K-1,female,2020-12-27,Kawanda
376K-1-R-7--C-13,376K-1,female,2020-12-27,Kawanda
Nakawere-R-8-C-9,Nakawere,female,2020-12-28,Kawanda
376K-1-R-6--C-43,376K-1,female,2020-12-27,Kawanda
enz-r2-c3,ITC1354-Enzirabahima,female,2020-12-29,Kawanda
1201K-1-R-6--C-16,1201K-1,female,2020-12-29,Kawanda
enz-r2-c3,ITC1354-Enzirabahima,female,2020-12-30,Kawanda
enz-r1-c5,ITC1354-Enzirabahima,female,2020-12-30,Kawanda
660K-1-r1-c7,660K-1,female,2020-12-30,Kawanda
401K-1-r5-c26,401K-1,female,2020-12-30,Kawanda
401K-1-R-4--C-63,401K-1,female,2021-01-01,Kawanda
246K-1-R-8--C-55,246K-1,female,2021-01-01,Kawanda
1411K-1-R-4--C-44,1411K-1,female,2021-01-01,Kawanda
Namande-R-1-C-2,Namande,female,2021-01-02,Kawanda
376K-1-R-7--C-14,376K-1,female,2021-01-02,Kawanda
199K-3-R-2--C-53,199K-3,female,2021-01-03,Kawanda
199K-3-R-2--C-52,199K-3,female,2021-01-03,Kawanda
enz-r8-c13,ITC1354-Enzirabahima,female,2021-01-03,Kawanda
enz-r9-c9,ITC1354-Enzirabahima,female,2021-01-03,Kawanda
401K-1-R-8--C-62,401K-1,female,2021-01-03,Kawanda
1201K-1-R-6--C-19,1201K-1,female,2021-01-04,Kawanda
660K-1-R-4--C-11,660K-1,female,2021-01-04,Kawanda
401K-1-R-8--C-61,401K-1,female,2021-01-04,Kawanda
1201K-1-R-3--C-46,1201K-1,female,2021-01-04,Kawanda
401K-1-r4-c28,401K-1,female,2021-01-04,Kawanda
Namande-r4-c48,Namande,female,2021-01-05,Kawanda
199K-3-R-1--C-53,199K-3,female,2021-01-05,Kawanda
246K-1-R-3--C-54,246K-1,female,2021-01-05,Kawanda
1411K-1-R-5--C-58,1411K-1,female,2021-01-05,Kawanda
401K-1-r6-c26,401K-1,female,2021-01-05,Kawanda
376K-1-r6-c24,376K-1,female,2021-01-05,Kawanda
660K-1-R-3--C-8,660K-1,female,2021-01-06,Kawanda
199K-3-R-3--C-52,199K-3,female,2021-01-06,Kawanda
enz-r1-c13,ITC1354-Enzirabahima,female,2021-01-07,Kawanda
401K-1-R-3--C-41,401K-1,female,2021-01-09,Kawanda
401K-1-R-8--C-40,401K-1,female,2021-01-09,Kawanda
401K-1-R-5--C-40,401K-1,female,2021-01-09,Kawanda
401K-1-r4-c26,401K-1,female,2021-01-09,Kawanda
365K-1-r1-c18,365K-1,female,2021-01-09,Kawanda
917K-2-R-8--C-50,917K-2,female,2021-01-10,Kawanda
enz-r9-c5,ITC1354-Enzirabahima,female,2021-01-11,Kawanda
enz-r8-c3,ITC1354-Enzirabahima,female,2021-01-11,Kawanda
enz-r3-c7,ITC1354-Enzirabahima,female,2021-01-12,Kawanda
Bitambi-R-1-C-5,Bitambi,female,2021-01-12,Kawanda
365K-1-r2-c17,365K-1,female,2021-01-12,Kawanda
